#SUBMITTED ID	DROSOPHILA_ORTHOLOGS
Osi19	Dgri\GH14036 <newline> Dere\GG13302 <newline> Dsim\GD19862 <newline> Dyak\GE10207 <newline> Dper\GL24073 <newline> Dwil\GK13052 <newline> Dsec\GM10883 <newline> Dpse\GA13557 <newline> Dvir\GJ14268 <newline> Osi19 <newline> Dana\GF16392 <newline> Dmoj\GI24409 <newline> Dsuz\DS10_00008060
Osi20	Dgri\GH14037 <newline> Dere\GG13313 <newline> Dsim\GD19863 <newline> Dyak\GE10208 <newline> Dper\GL24074 <newline> Dwil\GK13053 <newline> Dsec\GM10884 <newline> Dpse\GA13556 <newline> Dvir\GJ14269 <newline> Osi20 <newline> Dana\GF16393 <newline> Dmoj\GI24411 <newline> Dsuz\DS10_00013095
Osi6	Dgri\GH14022 <newline> Dere\GG13147 <newline> Dsim\GD19848 <newline> Dyak\GE10189 <newline> Dper\GL24058 <newline> Dwil\GK13036 <newline> Dwil\GK27059 <newline> Dsec\GM10867 <newline> Dpse\GA26494 <newline> Dvir\GJ14250 <newline> Osi6 <newline> Dana\GF16378 <newline> Dmoj\GI24394 <newline> Dsuz\DS10_00008049
Osi9	Dgri\GH14025 <newline> Dere\GG13161 <newline> Dsim\GD19850 <newline> Dyak\GE10192 <newline> Dper\GL24061 <newline> Dwil\GK28182 <newline> Dsec\GM10870 <newline> Dpse\GA13834 <newline> Dvir\GJ14255 <newline> Osi9 <newline> Dana\GF16381 <newline> Dmoj\GI24397 <newline> Dsuz\DS10_00008051
Peritrophin-15a	Dgri\GH23637 <newline> Dgri\GH11353 <newline> Dere\GG23443 <newline> Dsim\GD22406 <newline> Dsim\GD22405 <newline> Dyak\GE11001 <newline> Dyak\GE11009 <newline> Dper\GL25804 <newline> Dper\GL18453 <newline> Dper\GL25805 <newline> Dwil\GK18688 <newline> Dsec\GM12960 <newline> Dsec\GM12961 <newline> Dpse\GA16549 <newline> Dpse\GA25453 <newline> Dvir\GJ18192 <newline> Peritrophin-15b <newline> Peritrophin-15a <newline> Dana\GF14680 <newline> Dmoj\GI12955 <newline> Dsuz\DS10_00000360
PGRP-SB1	Dgri\GH15225 <newline> Dere\GG15854 <newline> Dsim\PGRP-SB1 <newline> Dyak\GE22193 <newline> Dper\GL13224 <newline> Dwil\GK17343 <newline> Dsec\GM24370 <newline> Dpse\GA21961 <newline> Dvir\GJ12160 <newline> PGRP-SB1 <newline> Dana\GF10506 <newline> Dmoj\GI11935
phu	Dgri\GH18436 <newline> Dere\GG16809 <newline> Dsim\GD18617 <newline> Dyak\GE25953 <newline> Dper\GL13610 <newline> Dwil\GK10963 <newline> Dsec\GM23808 <newline> Dpse\GA20850 <newline> Dvir\GJ23643 <newline> phu <newline> Dana\GF17216 <newline> Dmoj\GI24012 <newline> Dsuz\DS10_00011460 <newline> Dsuz\DS10_00012634
RpII18	Dgri\GH17834 <newline> Dere\GG12771 <newline> Dsim\GD19782 <newline> Dyak\GE28893 <newline> Dyak\GE25464 <newline> Dper\GL21641 <newline> Dwil\GK11847 <newline> Dsec\GM10803 <newline> Dpse\GA11109 <newline> Dvir\GJ11106 <newline> RpII18 <newline> Dana\GF17248 <newline> Dmoj\GI22548 <newline> Dsuz\DS10_00009242
Scp2	Dgri\GH20505 <newline> Dere\GG16823 <newline> Dsim\GD20278 <newline> Dyak\GE26142 <newline> Dper\GL27293 <newline> Dwil\GK22835 <newline> Dsec\GM15421 <newline> Dpse\GA13342 <newline> Dvir\GJ22847 <newline> Scp2 <newline> Dana\GF17935 <newline> Dmoj\GI10386 <newline> Dsuz\DS10_00007954
Ser8	Dgri\GH22680 <newline> Dere\GG20381 <newline> Dsim\GD15412 <newline> Dyak\GE12542 <newline> Dper\GL11685 <newline> Dwil\GK19007 <newline> Dsec\GM21468 <newline> Dpse\GA18449 <newline> Dvir\GJ21048 <newline> Ser8 <newline> Dsuz\DS10_00006580
SmB	Dgri\GH13302 <newline> Dere\GG23931 <newline> Dsim\GD22258 <newline> Dyak\SmB <newline> Dper\GL19145 <newline> Dwil\GK14876 <newline> Dsec\GM11667 <newline> Dpse\GA18820 <newline> Dvir\GJ14598 <newline> SmB <newline> Dana\GF14098 <newline> Dmoj\GI18165 <newline> Dsuz\DS10_00001806
SNCF	Dgri\GH17159 <newline> Dere\GG15636 <newline> Dsim\GD14444 <newline> Dyak\GE21964 <newline> Dper\GL15710 <newline> Dwil\GK17439 <newline> Dsec\GM25414 <newline> Dpse\GA29255 <newline> Dpse\GA12768 <newline> Dvir\GJ13476 <newline> SNCF <newline> Dana\GF27871 <newline> Dmoj\GI11774 <newline> Dsuz\DS10_00010537
Sry-alpha	Dgri\GH19171 <newline> Dere\GG11723 <newline> Dsim\Sry-alpha <newline> Dyak\Sry-alpha <newline> Dper\GL14022 <newline> Dwil\GK13866 <newline> Dsec\Sry-alpha <newline> Dpse\Sry-alpha <newline> Dvir\Sry-alpha <newline> Sry-alpha <newline> Dana\GF19985 <newline> Dmoj\GI24207 <newline> Dsuz\DS10_00012897
Tao	Dgri\GH12443 <newline> Dere\GG18048 <newline> Dsim\GD15575 <newline> Dyak\GE17379 <newline> Dper\GL14776 <newline> Dwil\GK10058 <newline> Dsec\GM22735 <newline> Dpse\GA12831 <newline> Dvir\GJ16968 <newline> Tao <newline> Dana\GF20482 <newline> Dmoj\GI21796 <newline> Dsuz\DS10_00004762
term	Dgri\GH11100 <newline> Dere\GG15737 <newline> Dere\GG13660 <newline> Dsim\GD14752 <newline> Dyak\GE19957 <newline> Dyak\GE22069 <newline> Dper\GL22878 <newline> Dwil\GK11209 <newline> Dsec\GM14975 <newline> Dsec\GM14935 <newline> Dpse\GA20226 <newline> Dvir\GJ13931 <newline> term <newline> CG7271 <newline> Dmoj\GI13592 <newline> Dsuz\DS10_00012459 <newline> Dsuz\DS10_00012457 <newline> Dsuz\DS10_00011267 <newline> Dsuz\DS10_00011266 <newline> Dsuz\DS10_00012458
TotA	Dere\GG24221 <newline> Dere\GG24210 <newline> Dsim\GD19381 <newline> Dsim\GD19384 <newline> Dsim\GD19382 <newline> Dyak\GE25694 <newline> Dyak\GE18068 <newline> Dyak\GE25695 <newline> Dsec\GM23143 <newline> Dsec\GM23145 <newline> Dsec\GM23142 <newline> Dpse\GA16288 <newline> TotB <newline> TotA <newline> Dsuz\DS10_00012822 <newline> Dsuz\DS10_00012821
TotA	Dere\GG24221 <newline> Dere\GG24210 <newline> Dsim\GD19381 <newline> Dsim\GD19384 <newline> Dsim\GD19382 <newline> Dyak\GE25694 <newline> Dyak\GE18068 <newline> Dyak\GE25695 <newline> Dsec\GM23143 <newline> Dsec\GM23145 <newline> Dsec\GM23142 <newline> Dpse\GA16288 <newline> TotB <newline> TotA <newline> Dsuz\DS10_00012822 <newline> Dsuz\DS10_00012821
TotC	Dsim\GD19383 <newline> Dsec\GM23144 <newline> TotC
TwdlG	Dgri\GH21845 <newline> Dere\GG11741 <newline> Dsim\GD19694 <newline> Dyak\GE25368 <newline> Dper\GL12334 <newline> Dwil\GK22650 <newline> Dsec\GM10719 <newline> Dpse\GA13142 <newline> Dvir\GJ14291 <newline> TwdlG <newline> Dana\GF16822 <newline> Dmoj\GI21932 <newline> Dsuz\DS10_00007593
TwdlL	Dgri\GH18724 <newline> Dgri\GH18727 <newline> Dgri\GH18879 <newline> Dere\GG12182 <newline> Dere\GG11490 <newline> Dere\GG12181 <newline> Dsim\GD21291 <newline> Dsim\GD27244 <newline> Dsim\GD18130 <newline> Dsim\GD21293 <newline> Dyak\GE10626 <newline> Dyak\GE10625 <newline> Dyak\GE23680 <newline> Dper\GL23099 <newline> Dper\GL24441 <newline> Dper\GL23101 <newline> Dper\GL24442 <newline> Dwil\GK13963 <newline> Dwil\GK13320 <newline> Dsec\GM10178 <newline> Dsec\GM10177 <newline> Dsec\GM10330 <newline> Dsec\GM10332 <newline> Dpse\GA26614 <newline> Dpse\GA26615 <newline> Dpse\GA18910 <newline> Dpse\GA27140 <newline> Dvir\GJ14564 <newline> Dvir\GJ14171 <newline> TwdlL <newline> TwdlM <newline> TwdlB <newline> TwdlN <newline> Dana\GF16445 <newline> Dana\GF16443 <newline> Dmoj\GI22879 <newline> Dmoj\GI22877 <newline> Dmoj\GI24736 <newline> Dsuz\DS10_00010620 <newline> Dsuz\DS10_00010622
TwdlM	Dgri\GH18724 <newline> Dgri\GH18727 <newline> Dgri\GH18879 <newline> Dere\GG12182 <newline> Dere\GG11490 <newline> Dere\GG12181 <newline> Dsim\GD21291 <newline> Dsim\GD27244 <newline> Dsim\GD18130 <newline> Dsim\GD21293 <newline> Dyak\GE10626 <newline> Dyak\GE10625 <newline> Dyak\GE23680 <newline> Dper\GL23099 <newline> Dper\GL24441 <newline> Dper\GL23101 <newline> Dper\GL24442 <newline> Dwil\GK13963 <newline> Dwil\GK13320 <newline> Dsec\GM10178 <newline> Dsec\GM10177 <newline> Dsec\GM10330 <newline> Dsec\GM10332 <newline> Dpse\GA26614 <newline> Dpse\GA26615 <newline> Dpse\GA18910 <newline> Dpse\GA27140 <newline> Dvir\GJ14564 <newline> Dvir\GJ14171 <newline> TwdlL <newline> TwdlM <newline> TwdlB <newline> TwdlN <newline> Dana\GF16445 <newline> Dana\GF16443 <newline> Dmoj\GI22879 <newline> Dmoj\GI22877 <newline> Dmoj\GI24736 <newline> Dsuz\DS10_00010620 <newline> Dsuz\DS10_00010622
TwdlV	Dgri\GH19057 <newline> Dere\GG12230 <newline> Dsim\GD19711 <newline> Dyak\GE25400 <newline> Dper\GL12309 <newline> Dwil\GK22519 <newline> Dsec\GM10739 <newline> Dpse\GA13139 <newline> Dvir\GJ14455 <newline> TwdlV <newline> Dana\GF18197 <newline> Dmoj\GI10848 <newline> Dsuz\DS10_00007595
TwdlY	Dgri\GH11916 <newline> Dere\GG19073 <newline> Dsim\GD17303 <newline> Dyak\GE17618 <newline> Dwil\GK25415 <newline> Dsec\GM13463 <newline> Dpse\GA16997 <newline> Dvir\GJ19306 <newline> TwdlY <newline> Dana\GF22660 <newline> Dmoj\GI26690
Cp18	-
Cp16	Dgri\Cp16 <newline> Dere\GG14345 <newline> Dsim\Cp16 <newline> Dyak\Cp16 <newline> Dper\GL10338 <newline> Dwil\GK16736 <newline> Dsec\GM25088 <newline> Dpse\GA19666 <newline> Dvir\Cp16 <newline> Cp16 <newline> Dana\GF24350 <newline> Dmoj\GI12926 <newline> Dsuz\DS10_00003771
Fbp1	Dgri\GH16348 <newline> Dere\GG13736 <newline> Dsim\GD12631 <newline> Dyak\GE20030 <newline> Dper\GL24835 <newline> Dwil\GK17147 <newline> Dsec\GM24558 <newline> Dpse\GA14441 <newline> Dvir\GJ11558 <newline> Fbp1 <newline> Dana\GF25207 <newline> Dmoj\GI11539 <newline> Dsuz\DS10_00004039
Fbp2	Dgri\GH13326 <newline> Dere\GG25347 <newline> Dsim\Fbp2 <newline> Dyak\GE18839 <newline> Dper\GL26147 <newline> Dwil\GK24204 <newline> Dsec\GM17449 <newline> Dpse\GA17670 <newline> Dvir\GJ17861 <newline> Fbp2 <newline> Dmoj\GI17665 <newline> Dsuz\DS10_00001577
CG8736	Dgri\GH22145 <newline> Dere\GG10631 <newline> Dsim\GD10155 <newline> Dyak\GE22901 <newline> Dper\GL11020 <newline> Dwil\GK23212 <newline> Dsec\GM20677 <newline> Dpse\GA24576 <newline> Dvir\GJ19933 <newline> CG8736 <newline> Dana\GF12575 <newline> Dsuz\DS10_00006773
Lsp1beta	Dgri\GH23643 <newline> Dgri\GH23649 <newline> Dere\GG24756 <newline> Dsim\GD23056 <newline> Dyak\GE17210 <newline> Dper\GL23266 <newline> Dwil\GK11112 <newline> Dwil\GK11980 <newline> Dsec\GM16778 <newline> Dpse\GA27203 <newline> Dvir\GJ22590 <newline> Lsp1beta <newline> Dana\GF18920 <newline> Dana\GF16081 <newline> Dmoj\GI23074 <newline> Dsuz\DS10_00013464
CG14688	Dgri\GH19105 <newline> Dere\GG17279 <newline> Dsim\GD29352 <newline> Dyak\GE24681 <newline> Dper\GL23824 <newline> Dwil\GK22578 <newline> Dsec\GM26164 <newline> Dpse\GA13177 <newline> Dvir\GJ23537 <newline> CG14688 <newline> Dana\GF17517 <newline> Dmoj\GI23558 <newline> Dsuz\DS10_00012871
Sodh-2	Dgri\GH14504 <newline> Dere\GG17814 <newline> Dere\GG13709 <newline> Dsim\GD19902 <newline> Dsim\GD18723 <newline> Dyak\GE24888 <newline> Dyak\GE14970 <newline> Dyak\GE26061 <newline> Dper\GL12569 <newline> Dper\GL21779 <newline> Dwil\GK12254 <newline> Dwil\GK13991 <newline> Dsec\GM23911 <newline> Dsec\GM10921 <newline> Dpse\GA26401 <newline> Dvir\GJ23219 <newline> Dvir\GJ23218 <newline> Dvir\GJ15399 <newline> Sodh-2 <newline> Sodh-1 <newline> Dana\GF18841 <newline> Dana\GF17192 <newline> Dmoj\GI22934 <newline> Dmoj\GI22938 <newline> Dmoj\GI22936
Hsp23	Dgri\GH17008 <newline> Dgri\GH16863 <newline> Dgri\GH23707 <newline> Dere\GG15370 <newline> Dsim\GD14176 <newline> Dyak\GE20832 <newline> Dper\GL22446 <newline> Dper\GL22443 <newline> Dwil\GK17636 <newline> Dsec\GM25142 <newline> Dpse\GA18202 <newline> Dvir\GJ13834 <newline> Hsp23 <newline> Dana\GF10691 <newline> Dmoj\GI13085 <newline> Dsuz\DS10_00003842 <newline> Dsuz\DS10_00003841
CG6300	Dere\GG23494 <newline> Dere\GG15852 <newline> Dsim\GD20102 <newline> Dsim\GD19313 <newline> Dyak\GE25114 <newline> Dyak\GE25624 <newline> Dper\GL12673 <newline> Dper\GL11948 <newline> Dsec\GM20875 <newline> Dsec\GM13136 <newline> Dsec\GM26895 <newline> Dsec\GM26862 <newline> Dpse\GA27585 <newline> Dpse\GA10983 <newline> Dvir\GJ10987 <newline> Dvir\GJ10795 <newline> CG6300 <newline> CG11659 <newline> CG11407 <newline> Dana\GF17616 <newline> Dana\GF17359 <newline> Dmoj\GI22425 <newline> Dmoj\GI22426 <newline> Dsuz\DS10_00008412 <newline> Dsuz\DS10_00008410
Lsp1gamma	Dgri\GH10465 <newline> Dere\GG14690 <newline> Dsim\Lsp1gamma <newline> Dyak\GE21052 <newline> Dper\GL26223 <newline> Dwil\GK18671 <newline> Dsec\GM14308 <newline> Dpse\GA28082 <newline> Dvir\GJ16457 <newline> Lsp1gamma <newline> Dana\GF14363 <newline> Dmoj\GI18059 <newline> Dsuz\DS10_00004610
Cyp4e1	Dgri\GH21090 <newline> Dere\GG23358 <newline> Dere\GG23357 <newline> Dsim\GD10561 <newline> Dsim\GD15375 <newline> Dsim\GD22340 <newline> Dyak\GE10369 <newline> Dyak\GE19199 <newline> Dper\GL11220 <newline> Dper\GL19213 <newline> Dper\GL11221 <newline> Dper\GL11222 <newline> Dwil\GK21501 <newline> Dwil\GK21502 <newline> Dwil\GK24822 <newline> Dsec\GM21032 <newline> Dsec\GM21033 <newline> Dsec\GM12308 <newline> Dpse\GA17961 <newline> Dpse\GA15214 <newline> Dpse\GA24648 <newline> Dpse\GA24649 <newline> Dvir\GJ21711 <newline> Dvir\GJ21710 <newline> Cyp4e1 <newline> Cyp4e2 <newline> Cyp4e3 <newline> Dana\GF12358 <newline> Dana\GF12359 <newline> Dana\GF21887 <newline> Dmoj\GI18694 <newline> Dsuz\DS10_00001612 <newline> Dsuz\DS10_00006754
CG13075	Dgri\GH16849 <newline> Dere\GG15947 <newline> Dere\GG16654 <newline> Dsim\GD14594 <newline> Dsim\GD14593 <newline> Dyak\GE23168 <newline> Dyak\GE22290 <newline> Dyak\GE28280 <newline> Dper\GL25045 <newline> Dper\GL25086 <newline> Dwil\GK27802 <newline> Dwil\GK27450 <newline> Dwil\GK24149 <newline> Dwil\GK24138 <newline> Dsec\GM25582 <newline> Dsec\GM25581 <newline> Dpse\GA23595 <newline> Dpse\GA23603 <newline> Dvir\GJ13820 <newline> Dvir\GJ13819 <newline> CG13075 <newline> CG33258 <newline> Dana\GF23762 <newline> Dana\GF23763 <newline> Dmoj\GI13071 <newline> Dsuz\DS10_00012853 <newline> Dsuz\DS10_00011091
Zasp67	Dgri\GH16018 <newline> Dere\GG14007 <newline> Dsim\GD12893 <newline> Dyak\GE20302 <newline> Dper\GL16327 <newline> Dwil\GK11768 <newline> Dsec\GM24841 <newline> Dpse\GA12801 <newline> Dvir\GJ13219 <newline> Zasp67 <newline> Dana\GF25127 <newline> Dmoj\GI12282 <newline> Dsuz\DS10_00003900
CG34224	Dere\GG22691 <newline> Dsim\GD25937 <newline> Dyak\GE13046 <newline> Dper\GL16758 <newline> Dwil\GK20654 <newline> Dsec\GM20468 <newline> Dpse\GA30482 <newline> Dvir\GJ15022 <newline> CG34224 <newline> Dana\GF12432 <newline> Dmoj\GI19658 <newline> Dsuz\DS10_00002656
Obp56a	Dgri\Obp56a-1 <newline> Dere\Obp56a <newline> Dsim\Obp56a <newline> Dyak\Obp56a <newline> Dper\Obp56a <newline> Dwil\Obp56a <newline> Dsec\Obp56a <newline> Dpse\Obp56a <newline> Dvir\Obp56a <newline> Obp56a <newline> Dana\Obp56a <newline> Dmoj\Obp56a <newline> Dsuz\DS10_00002021
E(spl)mgamma-HLH	Dgri\GH19452 <newline> Dere\GG11450 <newline> Dsim\HLHmgamma <newline> Dyak\HLHmgamma <newline> Dper\GL21815 <newline> Dwil\GK14455 <newline> Dsec\GM10294 <newline> Dpse\GA20996 <newline> Dvir\GJ23903 <newline> E(spl)mgamma-HLH <newline> Dana\GF16796 <newline> Dmoj\GI24686 <newline> Dsuz\DS10_00013513 <newline> Dsuz\DS10_00012120
Neu2	Dere\GG13232 <newline> Dsim\GD12116 <newline> Dyak\GE28322 <newline> Dsec\GM22138 <newline> Neu2
CG6885	Dgri\GH14371 <newline> Dere\GG13674 <newline> Dsim\GD14766 <newline> Dyak\GE19971 <newline> Dper\GL24879 <newline> Dwil\GK12077 <newline> Dsec\GM14989 <newline> Dpse\GA19930 <newline> Dvir\GJ11571 <newline> CG6885 <newline> Dana\GF23638 <newline> Dmoj\GI11314 <newline> Dsuz\DS10_00013068
CG13712	Dgri\GH15791 <newline> Dere\GG14162 <newline> Dsim\GD13236 <newline> Dyak\GE20590 <newline> Dper\GL17933 <newline> Dsec\GM13953 <newline> Dpse\GA12477 <newline> Dvir\GJ15478 <newline> CG13712 <newline> Dana\GF24715 <newline> Dmoj\GI12574 <newline> Dsuz\DS10_00011630
Bro	Dgri\GH15956 <newline> Dere\GG14810 <newline> Dsim\GD13634 <newline> Dyak\GE21173 <newline> Dper\GL11917 <newline> Dwil\GK24398 <newline> Dsec\GM14432 <newline> Dpse\GA23814 <newline> Dvir\GJ12863 <newline> Bro <newline> Dana\GF24821 <newline> Dmoj\GI16609 <newline> Dsuz\DS10_00004474
CG15876	Dgri\GH24970 <newline> Dgri\GH15792 <newline> Dere\GG14164 <newline> Dsim\GD13237 <newline> Dyak\GE20591 <newline> Dper\GL17934 <newline> Dwil\GK17596 <newline> Dsec\GM13954 <newline> Dpse\GA13997 <newline> Dvir\GJ15479 <newline> CG15876 <newline> Dana\GF24716 <newline> Dmoj\GI12575 <newline> Dsuz\DS10_00007919 <newline> Dsuz\DS10_00010435
CG13713	Dgri\GH15694 <newline> Dere\GG15244 <newline> Dsim\GD13859 <newline> Dyak\GE21466 <newline> Dper\GL17913 <newline> Dwil\GK16597 <newline> Dsec\GM14677 <newline> Dpse\GA12478 <newline> Dvir\GJ15515 <newline> CG13713 <newline> Dana\GF25088 <newline> Dmoj\GI12746 <newline> Dsuz\DS10_00007920
CG43333	Dgri\GH10598 <newline> Dere\GG10157 <newline> Dsim\GD11970 <newline> Dyak\GE25093 <newline> Dwil\GK15101 <newline> Dsec\GM14896 <newline> Dpse\GA17219 <newline> Dvir\GJ18063 <newline> CG43333 <newline> Dana\GF15601 <newline> Dmoj\GI17386 <newline> Dsuz\DS10_00000870
Elba3	Dgri\GH13133 <newline> Dere\GG25014 <newline> Dsim\GD23295 <newline> Dyak\GE18303 <newline> Dper\GL14443 <newline> Dwil\GK23754 <newline> Dsec\GM18486 <newline> Dpse\GA13863 <newline> Dvir\GJ23385 <newline> Elba3 <newline> Dana\GF21376 <newline> Dmoj\GI22837 <newline> Dsuz\DS10_00000665
Sep5	Dere\GG10692 <newline> Dsim\GD15296 <newline> Dyak\GE23454 <newline> Dper\GL10608 <newline> Dwil\GK15728 <newline> Dsec\GM20740 <newline> Dpse\GA15516 <newline> Sep5 <newline> Dana\GF11226 <newline> Dsuz\DS10_00006685
slam	Dgri\GH10746 <newline> Dere\GG10408 <newline> Dsim\GD23406 <newline> Dyak\GE13835 <newline> Dper\GL25523 <newline> Dwil\GK14757 <newline> Dsec\GM18624 <newline> Dpse\GA21841 <newline> Dvir\GJ12848 <newline> slam <newline> Dana\GF14518 <newline> Dmoj\GI11564 <newline> Dsuz\DS10_00010822
CG10035	Dgri\GH20175 <newline> Dere\GG17134 <newline> Dsim\GD20576 <newline> Dyak\GE24526 <newline> Dper\GL27183 <newline> Dwil\GK11199 <newline> Dsec\GM26018 <newline> Dpse\GA10022 <newline> Dvir\GJ24384 <newline> CG10035 <newline> Dana\GF17050 <newline> Dmoj\GI24378 <newline> Dsuz\DS10_00009027
CG4009	Dgri\GH18067 <newline> Dere\GG16797 <newline> Dsim\GD20258 <newline> Dyak\GE26114 <newline> Dper\GL22991 <newline> Dwil\GK13846 <newline> Dsec\GM15392 <newline> Dpse\GA17852 <newline> Dvir\GJ10592 <newline> CG4009 <newline> Dana\GF17914 <newline> Dmoj\GI23745 <newline> Dsuz\DS10_00013324
Sry-alpha	Dgri\GH19171 <newline> Dere\GG11723 <newline> Dsim\Sry-alpha <newline> Dyak\Sry-alpha <newline> Dper\GL14022 <newline> Dwil\GK13866 <newline> Dsec\Sry-alpha <newline> Dpse\Sry-alpha <newline> Dvir\Sry-alpha <newline> Sry-alpha <newline> Dana\GF19985 <newline> Dmoj\GI24207 <newline> Dsuz\DS10_00012897
CG14915	Dgri\GH10302 <newline> Dere\GG23700 <newline> Dsim\GD23758 <newline> Dyak\GE18509 <newline> Dper\GL19537 <newline> Dwil\GK18925 <newline> Dsec\GM18840 <newline> Dpse\GA13350 <newline> Dvir\GJ10499 <newline> CG14915 <newline> Dana\GF15637 <newline> Dmoj\GI16019 <newline> Dsuz\DS10_00001888
CG43725	Dgri\GH10303 <newline> Dere\GG23701 <newline> Dsim\GD23759 <newline> Dyak\GE18510 <newline> Dper\GL19538 <newline> Dper\GL19539 <newline> Dwil\GK21243 <newline> Dsec\GM18851 <newline> Dpse\GA26000 <newline> Dvir\GJ10509 <newline> CG43725 <newline> Dana\GF15638 <newline> Dmoj\GI16021 <newline> Dsuz\DS10_00001889
CG13427	Dgri\GH21068 <newline> Dere\GG20861 <newline> Dsim\GD25277 <newline> Dyak\GE13799 <newline> Dper\GL16812 <newline> Dsec\GM19786 <newline> Dpse\GA12280 <newline> Dvir\GJ21685 <newline> CG13427 <newline> Dmoj\GI18669
Z600	Dgri\GH14542 <newline> Dere\GG15901 <newline> Dsim\GD14545 <newline> Dyak\GE22242 <newline> Dyak\GE23146 <newline> Dper\GL24823 <newline> Dwil\GK10594 <newline> Dsec\GM25530 <newline> Dpse\GA14745 <newline> Dvir\GJ13860 <newline> Z600 <newline> Dana\GF23702 <newline> Dmoj\GI13113 <newline> Dsuz\DS10_00012932
yellow-g	Dgri\GH15007 <newline> Dere\GG14522 <newline> Dsim\GD13396 <newline> Dyak\GE21714 <newline> Dper\GL24619 <newline> Dwil\GK12518 <newline> Dsec\GM14127 <newline> Dpse\GA19080 <newline> Dvir\GJ11945 <newline> yellow-g <newline> Dana\GF24870 <newline> Dmoj\GI13169 <newline> Dsuz\DS10_00004403
CG13114	Dgri\GH10433 <newline> Dere\GG10038 <newline> Dsim\GD23614 <newline> Dyak\GE18853 <newline> Dper\GL18915 <newline> Dwil\GK19373 <newline> Dsec\GM17541 <newline> Dpse\GA12056 <newline> Dvir\GJ21563 <newline> CG13114 <newline> Dana\GF22771 <newline> Dmoj\GI24302 <newline> Dsuz\DS10_00001589
PGRP-SB1	Dgri\GH15225 <newline> Dere\GG15854 <newline> Dsim\PGRP-SB1 <newline> Dyak\GE22193 <newline> Dper\GL13224 <newline> Dwil\GK17343 <newline> Dsec\GM24370 <newline> Dpse\GA21961 <newline> Dvir\GJ12160 <newline> PGRP-SB1 <newline> Dana\GF10506 <newline> Dmoj\GI11935
CG15784	Dere\GG18762 <newline> Dsim\GD16732 <newline> Dyak\GE16406 <newline> Dsec\GM12413 <newline> Dpse\GA22573 <newline> CG15784
yellow-g2	Dgri\GH16473 <newline> Dere\GG14855 <newline> Dsim\GD13677 <newline> Dyak\GE20312 <newline> Dper\GL24646 <newline> Dwil\GK12633 <newline> Dsec\GM14481 <newline> Dpse\GA12541 <newline> Dvir\GJ13424 <newline> yellow-g2 <newline> Dana\GF24911 <newline> Dmoj\GI12146 <newline> Dsuz\DS10_00004402
CG8343	Dere\GG23197 <newline> Dsim\GD10399 <newline> Dyak\GE20736 <newline> Dper\GL16247 <newline> Dper\GL16248 <newline> Dwil\GK21333 <newline> Dsec\GM16537 <newline> Dpse\GA25106 <newline> Dpse\GA21005 <newline> CG8343 <newline> Dana\GF11047 <newline> Dsuz\DS10_00006514
AttA	Dgri\GH20752 <newline> Dere\GG20476 <newline> Dere\GG20477 <newline> Dsim\AttB <newline> Dsim\AttA <newline> Dyak\GE13607 <newline> Dyak\AttA <newline> Dper\GL23282 <newline> Dper\GL11458 <newline> Dper\GL23315 <newline> Dwil\GK19632 <newline> Dsec\GM21567 <newline> Dpse\GA27207 <newline> Dpse\GA10109 <newline> Dpse\GA27220 <newline> Dvir\GJ20571 <newline> Dvir\GJ20572 <newline> AttA <newline> AttB <newline> Dana\GF11339 <newline> Dmoj\GI20837 <newline> Dsuz\DS10_00002558
edin	Dgri\GH16191 <newline> Dere\GG13620 <newline> Dsim\GD14712 <newline> Dyak\GE19917 <newline> Dper\GL15586 <newline> Dwil\GK17745 <newline> Dsec\GM25706 <newline> Dpse\GA16743 <newline> Dvir\GJ13166 <newline> edin <newline> Dana\GF10536 <newline> Dmoj\GI13340 <newline> Dsuz\DS10_00010419
gammaTry	Dgri\GH22926 <newline> Dgri\GH22927 <newline> Dgri\GH22925 <newline> Dgri\GH22924 <newline> Dere\betaTry <newline> Dere\alphaTry <newline> Dere\deltaTry <newline> Dsim\GD15391 <newline> Dsim\GD29555 <newline> Dyak\alphaTry <newline> Dyak\GE13533 <newline> Dyak\GE12354 <newline> Dper\GL17339 <newline> Dper\GL17143 <newline> Dwil\GK21995 <newline> Dwil\GK19692 <newline> Dwil\GK19693 <newline> Dwil\GK19676 <newline> Dsec\GM20441 <newline> Dpse\GA24980 <newline> Dpse\GA14937 <newline> Dvir\GJ20849 <newline> Dvir\GJ21498 <newline> Dvir\GJ21495 <newline> Dvir\GJ21499 <newline> Dvir\Try1 <newline> Dvir\GJ21497 <newline> gammaTry <newline> CG30031 <newline> deltaTry <newline> CG30025 <newline> alphaTry <newline> Dana\GF12546 <newline> Dana\GF12403 <newline> Dmoj\GI21244 <newline> Dmoj\GI18413 <newline> Dmoj\GI18414
AttC	Dgri\GH21628 <newline> Dgri\GH23752 <newline> Dere\GG20378 <newline> Dsim\AttC <newline> Dyak\GE12538 <newline> Dwil\GK17822 <newline> Dsec\GM21465 <newline> Dvir\GJ21173 <newline> AttC <newline> Dana\GF13689 <newline> Dmoj\GI20082 <newline> Dsuz\DS10_00006586
